Before erosion ID,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,Z location half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 Connectivity,2 Connectivity,4 Connectivity,5 Connectivity
86,0.2134475,4,86,Not eroded,0,1,0,0,0,0,0,0,0,1,1
87,0.0647259,4,87,Not eroded,0,0,0,0,0,0,0,0,0,1,1
88,0.1622022,0,88,Not eroded,0,0,0,0,0,0,1,1,1,1,1
89,0.09459559,4,89,Not eroded,0,0,0,0,0,0,0,0,0,1,1
90,0.2577799,0,90,ERODED,1,1,1,1,1,1,1,1,1,1,1
92,0.2906882,0,92,ERODED,1,1,1,1,1,1,1,1,1,1,1
93,0.1508902,3,93,Not eroded,0,0,0,0,0,0,1,0,0,1,1
94,0.1106894,0,94,Not eroded,0,0,0,0,0,0,1,1,1,1,1
95,0.2056713,6,95,Not eroded,0,1,0,0,0,0,0,0,0,0,0
96,0.06191141,4,96,Not eroded,0,0,0,0,0,0,0,0,0,1,1
97,0.1392743,0,97,Not eroded,0,0,0,0,0,0,1,1,1,1,1
98,0.1305888,5,98,Not eroded,0,0,0,0,0,0,0,0,0,0,1
100,0.2456985,5,100,Not eroded,0,1,1,1,1,0,0,0,0,0,1
101,0.09601942,3,101,Not eroded,0,0,0,0,0,0,1,0,0,1,1
102,0.1682534,4,102,Not eroded,0,0,0,0,0,0,0,0,0,1,1
104,0.05623288,4,104,Not eroded,0,0,0,0,0,0,0,0,0,1,1
105,0.12914,6,105,Not eroded,0,0,0,0,0,0,0,0,0,0,0
106,0.07014086,5,106,Not eroded,0,0,0,0,0,0,0,0,0,0,1
107,0.154333,5,107,Not eroded,0,0,0,0,0,0,0,0,0,0,1
108,0.1862789,3,108,Not eroded,0,0,0,0,0,0,1,0,0,1,1
109,0.0562887,0,109,Not eroded,0,0,0,0,0,0,1,1,1,1,1
110,0.1009837,6,110,Not eroded,0,0,0,0,0,0,0,0,0,0,0
111,0.2535425,4,111,Not eroded,0,1,1,1,1,1,0,0,0,1,1
112,0.1885967,5,112,Not eroded,0,0,0,0,0,0,0,0,0,0,1
113,0.2822054,0,113,Not eroded,0,1,1,1,1,1,1,1,1,1,1
114,0.1930841,5,114,Not eroded,0,1,0,0,0,0,0,0,0,0,1
115,0.112452,3,115,Not eroded,0,0,0,0,0,0,1,0,0,1,1
116,0.1557032,3,116,Not eroded,0,0,0,0,0,0,1,0,0,1,1
117,0.1796119,0,117,Not eroded,0,0,0,0,0,0,1,1,1,1,1
118,0.2758187,0,118,Not eroded,0,1,1,1,1,1,1,1,1,1,1
119,0.172627,4,119,Not eroded,0,0,0,0,0,0,0,0,0,1,1
120,0.1953897,0,120,Not eroded,0,1,0,0,0,0,1,1,1,1,1
121,0.1280578,0,121,Not eroded,0,0,0,0,0,0,1,1,1,1,1
122,0.2307607,5,122,Not eroded,0,1,1,1,0,0,0,0,0,0,1
123,0.153013,3,123,Not eroded,0,0,0,0,0,0,1,0,0,1,1
124,0.05620934,3,124,Not eroded,0,0,0,0,0,0,1,0,0,1,1
125,0.2683822,0,125,Not eroded,0,1,1,1,1,1,1,1,1,1,1
127,0.06035095,4,127,Not eroded,0,0,0,0,0,0,0,0,0,1,1
128,0.1510226,5,128,Not eroded,0,0,0,0,0,0,0,0,0,0,1
129,0.1533212,4,129,Not eroded,0,0,0,0,0,0,0,0,0,1,1
130,0.1957812,3,130,Not eroded,0,1,0,0,0,0,1,0,0,1,1
132,0.08485115,4,132,Not eroded,0,0,0,0,0,0,0,0,0,1,1
133,0.3151198,0,133,ERODED,1,1,1,1,1,1,1,1,1,1,1
134,0.2604809,4,134,Not eroded,0,1,1,1,1,1,0,0,0,1,1
135,0.0562731,0,135,Not eroded,0,0,0,0,0,0,1,1,1,1,1
136,0.2369694,4,136,Not eroded,0,1,1,1,0,0,0,0,0,1,1
137,0.1135314,4,137,Not eroded,0,0,0,0,0,0,0,0,0,1,1
138,0.1840949,5,138,Not eroded,0,0,0,0,0,0,0,0,0,0,1
139,0.1942689,6,139,Not eroded,0,1,0,0,0,0,0,0,0,0,0
140,0.2556761,3,140,Not eroded,0,1,1,1,1,1,1,0,0,1,1
141,0.1315405,4,141,Not eroded,0,0,0,0,0,0,0,0,0,1,1
143,0.1554989,0,143,Not eroded,0,0,0,0,0,0,1,1,1,1,1
144,0.2711096,0,144,Not eroded,0,1,1,1,1,1,1,1,1,1,1
145,0.05645522,0,145,Not eroded,0,0,0,0,0,0,1,1,1,1,1
146,0.1154507,3,146,Not eroded,0,0,0,0,0,0,1,0,0,1,1
147,0.06685889,3,147,Not eroded,0,0,0,0,0,0,1,0,0,1,1
150,0.2302506,4,150,Not eroded,0,1,1,1,0,0,0,0,0,1,1
152,0.05626366,4,152,Not eroded,0,0,0,0,0,0,0,0,0,1,1
153,0.1830878,0,153,Not eroded,0,0,0,0,0,0,1,1,1,1,1
154,0.1006783,4,154,Not eroded,0,0,0,0,0,0,0,0,0,1,1
155,0.2614585,0,155,ERODED,1,1,1,1,1,1,1,1,1,1,1
156,0.1523154,3,156,Not eroded,0,0,0,0,0,0,1,0,0,1,1
157,0.2771613,0,157,ERODED,1,1,1,1,1,1,1,1,1,1,1
158,0.2435469,5,158,Not eroded,0,1,1,1,1,0,0,0,0,0,1
159,0.2092543,4,159,Not eroded,0,1,0,0,0,0,0,0,0,1,1
160,0.3253551,0,160,ERODED,1,1,1,1,1,1,1,1,1,1,1
161,0.229806,4,161,Not eroded,0,1,1,0,0,0,0,0,0,1,1
162,0.3031245,0,162,ERODED,1,1,1,1,1,1,1,1,1,1,1
164,0.257349,5,164,Not eroded,0,1,1,1,1,1,0,0,0,0,1
165,0.2081921,0,165,Not eroded,0,1,0,0,0,0,1,1,1,1,1
166,0.1593224,4,166,Not eroded,0,0,0,0,0,0,0,0,0,1,1
167,0.2885213,0,167,Not eroded,0,1,1,1,1,1,1,1,1,1,1
169,0.2721059,2,169,Not eroded,0,1,1,1,1,1,1,0,1,1,1
170,0.2151406,2,170,Not eroded,0,1,0,0,0,0,1,0,1,1,1
171,0.3197057,0,171,ERODED,1,1,1,1,1,1,1,1,1,1,1
173,0.2808742,3,173,Not eroded,0,1,1,1,1,1,1,0,0,1,1
174,0.3190343,0,174,ERODED,1,1,1,1,1,1,1,1,1,1,1
175,0.2085603,3,175,Not eroded,0,1,0,0,0,0,1,0,0,1,1
176,0.08828796,0,176,Not eroded,0,0,0,0,0,0,1,1,1,1,1
178,0.292454,0,178,ERODED,1,1,1,1,1,1,1,1,1,1,1
179,0.07511911,3,179,Not eroded,0,0,0,0,0,0,1,0,0,1,1
180,0.2456635,3,180,Not eroded,0,1,1,1,1,0,1,0,0,1,1
181,0.1953487,4,181,Not eroded,0,1,0,0,0,0,0,0,0,1,1
