Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,Z location Half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,3 connectivity,1 connectivity,2 connectivity,4 connectivity,5 connectivity
231,9.59E-02,1.72E-01,2.73E-01,5,231,Not eroded,0,1,1,1,1,1,0,0,0,0,1
233,5.62E-02,7.29E-02,2.60E-01,3,233,Not eroded,0,1,1,1,1,1,1,0,0,1,1
234,1.03E-01,1.88E-01,2.92E-01,5,234,Not eroded,0,1,1,1,1,1,0,0,0,0,1
237,5.62E-02,2.90E-01,2.67E-01,0,237,Not eroded,0,1,1,1,1,1,1,1,1,1,1
239,5.66E-02,2.53E-01,2.75E-01,0,239,Not eroded,0,1,1,1,1,1,1,1,1,1,1
242,1.72E-01,2.34E-01,2.65E-01,4,242,Not eroded,0,1,1,1,1,1,0,0,0,1,1
243,1.71E-01,1.75E-01,2.91E-01,0,243,Not eroded,0,1,1,1,1,1,1,1,1,1,1
244,2.32E-01,3.10E-01,2.45E-01,0,244,Not eroded,0,1,1,1,1,0,1,1,1,1,1
245,2.95E-01,1.56E-01,2.64E-01,4,245,Not eroded,0,1,1,1,1,1,0,0,0,1,1
247,1.26E-01,2.15E-01,3.05E-01,0,247,Not eroded,0,1,1,1,1,1,1,1,1,1,1
248,1.76E-01,1.96E-01,3.07E-01,2,248,Not eroded,0,1,1,1,1,1,1,0,1,1,1
250,2.01E-01,1.66E-01,2.72E-01,3,250,Not eroded,0,1,1,1,1,1,1,0,0,1,1
255,7.06E-02,6.06E-02,2.63E-01,6,255,Not eroded,0,1,1,1,1,1,0,0,0,0,0
256,9.74E-02,1.00E-01,3.19E-01,0,256,ERODED,1,1,1,1,1,1,1,1,1,1,1
261,2.88E-01,1.74E-01,2.57E-01,0,261,Not eroded,0,1,1,1,1,1,1,1,1,1,1
262,1.95E-01,2.74E-01,2.91E-01,3,262,Not eroded,0,1,1,1,1,1,1,0,0,1,1
264,2.08E-01,1.40E-01,2.88E-01,6,264,Not eroded,0,1,1,1,1,1,0,0,0,0,0
269,2.72E-01,3.24E-01,2.44E-01,0,269,Not eroded,0,1,1,1,1,0,1,1,1,1,1
272,2.45E-01,3.24E-01,2.62E-01,0,272,Not eroded,0,1,1,1,1,1,1,1,1,1,1
278,2.41E-01,5.64E-02,2.51E-01,4,278,Not eroded,0,1,1,1,1,1,0,0,0,1,1
284,2.01E-01,3.18E-01,3.09E-01,0,284,ERODED,1,1,1,1,1,1,1,1,1,1,1
287,3.00E-01,1.64E-01,2.67E-01,3,287,Not eroded,0,1,1,1,1,1,1,0,0,1,1
290,1.32E-01,1.76E-01,3.10E-01,0,290,ERODED,1,1,1,1,1,1,1,1,1,1,1
291,6.04E-02,1.60E-01,3.08E-01,0,291,ERODED,1,1,1,1,1,1,1,1,1,1,1
292,2.22E-01,2.13E-01,2.54E-01,3,292,Not eroded,0,1,1,1,1,1,1,0,0,1,1
293,2.05E-01,1.49E-01,3.20E-01,0,293,ERODED,1,1,1,1,1,1,1,1,1,1,1
294,5.62E-02,1.31E-01,2.64E-01,3,294,Not eroded,0,1,1,1,1,1,1,0,0,1,1
297,2.77E-01,1.22E-01,3.08E-01,0,297,ERODED,1,1,1,1,1,1,1,1,1,1,1
300,1.59E-01,1.68E-01,2.90E-01,3,300,Not eroded,0,1,1,1,1,1,1,0,0,1,1
308,1.70E-01,1.51E-01,2.57E-01,4,308,Not eroded,0,1,1,1,1,1,0,0,0,1,1
310,5.61E-02,1.77E-01,2.47E-01,5,310,Not eroded,0,1,1,1,1,0,0,0,0,0,1
319,2.45E-01,1.28E-01,3.26E-01,0,319,ERODED,1,1,1,1,1,1,1,1,1,1,1
322,5.62E-02,1.56E-01,2.88E-01,4,322,Not eroded,0,1,1,1,1,1,0,0,0,1,1
323,2.92E-01,2.20E-01,3.03E-01,0,323,ERODED,1,1,1,1,1,1,1,1,1,1,1
325,9.92E-02,2.20E-01,2.82E-01,5,325,Not eroded,0,1,1,1,1,1,0,0,0,0,1
330,6.58E-02,3.24E-01,2.50E-01,0,330,Not eroded,0,1,1,1,1,0,1,1,1,1,1
332,5.62E-02,1.51E-01,3.25E-01,0,332,ERODED,1,1,1,1,1,1,1,1,1,1,1
342,3.14E-01,1.29E-01,2.44E-01,4,342,Not eroded,0,1,1,1,1,0,0,0,0,1,1
345,1.74E-01,2.71E-01,2.80E-01,4,345,Not eroded,0,1,1,1,1,1,0,0,0,1,1
347,2.17E-01,2.55E-01,3.16E-01,0,347,ERODED,1,1,1,1,1,1,1,1,1,1,1
349,2.92E-01,3.22E-01,3.17E-01,0,349,ERODED,1,1,1,1,1,1,1,1,1,1,1
350,2.38E-01,2.97E-01,2.92E-01,4,350,ERODED,1,1,1,1,1,1,0,0,0,1,1
356,7.34E-02,1.52E-01,2.88E-01,4,356,Not eroded,0,1,1,1,1,1,0,0,0,1,1
359,5.63E-02,2.91E-01,2.79E-01,0,359,ERODED,1,1,1,1,1,1,1,1,1,1,1
362,2.26E-01,2.72E-01,2.94E-01,5,362,Not eroded,0,1,1,1,1,1,0,0,0,0,1
366,2.51E-01,2.10E-01,2.87E-01,4,366,Not eroded,0,1,1,1,1,1,0,0,0,1,1
368,1.77E-01,1.70E-01,2.85E-01,4,368,Not eroded,0,1,1,1,1,1,0,0,0,1,1
369,5.62E-02,3.14E-01,2.51E-01,0,369,Not eroded,0,1,1,1,1,1,1,1,1,1,1
372,2.54E-01,3.24E-01,3.16E-01,0,372,ERODED,1,1,1,1,1,1,1,1,1,1,1
374,3.24E-01,2.53E-01,2.68E-01,3,374,Not eroded,0,1,1,1,1,1,1,0,0,1,1
377,1.34E-01,5.66E-02,2.97E-01,0,377,ERODED,1,1,1,1,1,1,1,1,1,1,1
379,7.38E-02,2.94E-01,2.93E-01,0,379,ERODED,1,1,1,1,1,1,1,1,1,1,1
383,2.12E-01,3.02E-01,3.04E-01,0,383,ERODED,1,1,1,1,1,1,1,1,1,1,1
384,2.15E-01,2.63E-01,2.45E-01,0,384,Not eroded,0,1,1,1,1,0,1,1,1,1,1
390,1.08E-01,2.29E-01,2.88E-01,4,390,Not eroded,0,1,1,1,1,1,0,0,0,1,1
393,2.56E-01,3.05E-01,2.56E-01,0,393,Not eroded,0,1,1,1,1,1,1,1,1,1,1
394,9.19E-02,2.10E-01,2.71E-01,3,394,Not eroded,0,1,1,1,1,1,1,0,0,1,1
399,2.67E-01,5.66E-02,2.61E-01,2,399,Not eroded,0,1,1,1,1,1,1,0,1,1,1
401,1.51E-01,1.70E-01,2.83E-01,6,401,Not eroded,0,1,1,1,1,1,0,0,0,0,0
407,1.75E-01,3.16E-01,2.89E-01,4,407,Not eroded,0,1,1,1,1,1,0,0,0,1,1
409,1.14E-01,2.47E-01,2.86E-01,5,409,Not eroded,0,1,1,1,1,1,0,0,0,0,1
414,6.39E-02,1.62E-01,2.59E-01,6,414,Not eroded,0,1,1,1,1,1,0,0,0,0,0
420,2.26E-01,7.87E-02,2.55E-01,4,420,Not eroded,0,1,1,1,1,1,0,0,0,1,1
422,2.87E-01,9.10E-02,2.62E-01,5,422,Not eroded,0,1,1,1,1,1,0,0,0,0,1
428,1.73E-01,1.19E-01,3.08E-01,0,428,ERODED,1,1,1,1,1,1,1,1,1,1,1
430,9.37E-02,3.08E-01,3.23E-01,0,430,ERODED,1,1,1,1,1,1,1,1,1,1,1
437,2.43E-01,6.08E-02,3.15E-01,0,437,ERODED,1,1,1,1,1,1,1,1,1,1,1
438,2.98E-01,3.12E-01,2.73E-01,0,438,ERODED,1,1,1,1,1,1,1,1,1,1,1
444,2.41E-01,2.89E-01,2.75E-01,0,444,ERODED,1,1,1,1,1,1,1,1,1,1,1
445,7.52E-02,2.40E-01,2.87E-01,2,445,Not eroded,0,1,1,1,1,1,1,0,1,1,1
448,1.80E-01,2.92E-01,2.69E-01,5,448,Not eroded,0,1,1,1,1,1,0,0,0,0,1
452,2.25E-01,2.58E-01,3.09E-01,0,452,ERODED,1,1,1,1,1,1,1,1,1,1,1
456,3.24E-01,1.04E-01,3.02E-01,0,456,ERODED,1,1,1,1,1,1,1,1,1,1,1
457,2.53E-01,1.39E-01,3.11E-01,0,457,ERODED,1,1,1,1,1,1,1,1,1,1,1
461,2.66E-01,6.50E-02,2.44E-01,5,461,Not eroded,0,1,1,1,1,0,0,0,0,0,1
469,2.13E-01,1.20E-01,2.94E-01,5,469,Not eroded,0,1,1,1,1,1,0,0,0,0,1
