Before erosion ID,Initial X,Initial Y,Initial Z,Initial connectivity,Before erosion ID,Erosion state,Encoded erosion state,,Z location Half,Z location 0.22,Z location 0.23,Z location 0.24,Z location 0.25,Force X,Force Y,Force Z,Sum of contact force (vector),Sum force by connectivity,3 connectivity,,4Connectivity,5Connectivity,2Connectivity,1Connectivity,0Connectivity
129,2.47E-01,2.97E-01,2.91E-01,0,129,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
131,7.81E-02,8.22E-02,2.47E-01,4,131,Not eroded,0,0,1,1,1,1,0,1.11E-07,2.01E-07,9.09E-08,2.47E-07,6.18E-08,0,4.42E-04,1,1,0,0,0
139,5.60E-02,1.50E-01,2.92E-01,2,139,Not eroded,0,0,1,1,1,1,1,-4.53E-08,-1.76E-08,-9.01E-08,1.02E-07,5.12E-08,1,1.82E-04,1,1,1,0,0
141,2.81E-01,2.21E-01,3.25E-01,0,141,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
142,2.24E-01,5.61E-02,2.50E-01,3,142,Not eroded,0,0,1,1,1,1,0,3.83E-07,-1.43E-07,-9.97E-08,4.21E-07,1.40E-07,1,7.53E-04,1,1,0,0,0
143,5.61E-02,6.82E-02,3.18E-01,0,143,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
150,7.66E-02,2.06E-01,3.23E-01,0,150,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
158,6.65E-02,3.25E-01,2.95E-01,0,158,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
164,1.79E-01,9.78E-02,2.80E-01,5,164,Not eroded,0,0,1,1,1,1,1,1.45E-07,1.41E-06,-1.20E-08,1.42E-06,2.84E-07,0,2.54E-03,0,1,0,0,0
172,7.97E-02,3.10E-01,3.27E-01,0,172,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
174,2.40E-01,8.17E-02,2.70E-01,0,174,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
186,1.71E-01,2.69E-01,2.81E-01,0,186,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
187,5.65E-02,2.79E-01,2.71E-01,0,187,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
191,1.52E-01,3.16E-01,2.74E-01,4,191,Not eroded,0,0,1,1,1,1,1,9.74E-08,-1.34E-08,5.91E-08,1.15E-07,2.87E-08,0,2.06E-04,1,1,0,0,0
194,2.36E-01,2.70E-01,2.78E-01,3,194,Not eroded,0,0,1,1,1,1,1,-1.01E-06,4.79E-07,2.24E-07,1.14E-06,3.79E-07,1,2.04E-03,1,1,0,0,0
201,7.25E-02,2.68E-01,3.19E-01,0,201,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
208,2.10E-01,6.48E-02,2.90E-01,5,208,Not eroded,0,0,1,1,1,1,1,2.30E-07,-1.15E-07,2.28E-07,3.44E-07,6.88E-08,0,6.15E-04,0,1,0,0,0
214,2.98E-01,2.54E-01,2.55E-01,4,214,Not eroded,0,0,1,1,1,1,1,-5.70E-06,3.92E-06,2.03E-06,7.21E-06,1.80E-06,0,1.29E-02,1,1,0,0,0
216,2.40E-01,1.39E-01,2.86E-01,4,216,Not eroded,0,0,1,1,1,1,1,-1.59E-06,3.00E-07,-2.46E-07,1.64E-06,4.09E-07,0,2.93E-03,1,1,0,0,0
217,2.91E-01,3.16E-01,2.95E-01,3,217,Not eroded,0,0,1,1,1,1,1,2.56E-07,7.01E-07,-3.89E-07,8.41E-07,2.80E-07,1,1.50E-03,1,1,0,0,0
218,2.42E-01,1.99E-01,2.81E-01,4,218,Not eroded,0,0,1,1,1,1,1,1.79E-05,-1.12E-06,1.04E-05,2.07E-05,5.17E-06,0,3.70E-02,1,1,0,0,0
225,1.49E-01,3.25E-01,3.13E-01,3,225,Not eroded,0,0,1,1,1,1,1,-1.41E-07,-7.04E-07,-2.89E-08,7.19E-07,2.40E-07,1,1.29E-03,1,1,0,0,0
228,3.10E-01,3.24E-01,2.58E-01,0,228,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
229,1.16E-01,2.15E-01,2.41E-01,4,229,Not eroded,0,0,1,1,1,1,0,3.15E-07,-3.72E-08,3.94E-07,5.06E-07,1.27E-07,0,9.05E-04,1,1,0,0,0
232,1.04E-01,6.13E-02,2.71E-01,6,232,Not eroded,0,0,1,1,1,1,1,2.81E-07,9.57E-08,6.17E-08,3.03E-07,5.06E-08,0,5.42E-04,0,0,0,0,0
235,1.46E-01,5.61E-02,2.66E-01,4,235,Not eroded,0,0,1,1,1,1,1,1.78E-07,-8.65E-07,7.94E-08,8.87E-07,2.22E-07,0,1.59E-03,1,1,0,0,0
237,7.26E-02,1.66E-01,2.89E-01,0,237,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
238,1.61E-01,5.61E-02,2.90E-01,3,238,Not eroded,0,0,1,1,1,1,1,8.99E-08,-6.74E-07,-3.13E-08,6.80E-07,2.27E-07,1,1.22E-03,1,1,0,0,0
243,8.00E-02,1.76E-01,2.82E-01,0,243,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
247,8.36E-02,1.24E-01,2.61E-01,4,247,Not eroded,0,0,1,1,1,1,1,5.08E-07,2.92E-07,3.56E-07,6.86E-07,1.72E-07,0,1.23E-03,1,1,0,0,0
250,2.90E-01,1.83E-01,2.96E-01,0,250,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
251,2.26E-01,9.49E-02,2.84E-01,0,251,ERODED,1,1,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
253,2.76E-01,1.36E-01,2.85E-01,0,253,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
263,2.50E-01,2.99E-01,2.82E-01,0,263,Not eroded,0,0,1,1,1,1,1,0,0.00E+00,0.00E+00,0,0,1,0.00E+00,1,1,1,1,1
